,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,avg_duration
49,2016-17,Directorate of Sports and Youth Welfare - Assam,To be Opened,Works,90.0
50,2016-17,Elementary Education Department,AOC,Goods,90.0
51,2016-17,Elementary Education Department,To be Opened,Goods,90.0
52,2016-17,Excise Department,To be Opened,Goods,21.0
53,2016-17,Food Civil Supplies and Consumer Affairs Department,To be Opened,Works,90.0
54,2016-17,Gauhati High Court - Guwahati,AOC,Goods,180.0
55,2016-17,Gauhati High Court - Guwahati,AOC,Services,180.0
56,2016-17,Gauhati High Court - Guwahati,To be Opened,Goods,180.0
57,2016-17,Gauhati High Court - Guwahati,To be Opened,Services,180.0
58,2016-17,Guwahati Metropolitan Development Authority,Financial Bid Opening,Works,120.0
59,2016-17,Guwahati Metropolitan Development Authority,Financial Evaluation,Works,120.0
60,2016-17,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,90.0
61,2016-17,Guwahati Metropolitan Development Authority,To be Opened,Services,120.0
62,2016-17,Guwahati Metropolitan Development Authority,To be Opened,Works,120.0
63,2016-17,Health and Family Welfare Department,AOC,Goods,365.0
64,2016-17,Health and Family Welfare Department,Financial Evaluation,Goods,319.2857142857143
65,2016-17,Health and Family Welfare Department,Technical Bid Opening,Goods,337.77777777777777
66,2016-17,Health and Family Welfare Department,Technical Evaluation,Goods,365.0
67,2016-17,Health and Family Welfare Department,To be Opened,Goods,365.0
68,2016-17,Higher Education (Technical) Department,AOC,Goods,90.0
69,2016-17,Higher Education (Technical) Department,To be Opened,Goods,90.0
70,2016-17,Home B,Financial Bid Opening,Goods,365.0
71,2016-17,Home B,Financial Evaluation,Goods,365.0
72,2016-17,Home B,Technical Bid Opening,Goods,365.0
73,2016-17,Home B,Technical Evaluation,Goods,365.0
74,2016-17,Industries and Commerce Department,AOC,Services,60.0
75,2016-17,Industries and Commerce Department,AOC,Works,161.25
76,2016-17,Industries and Commerce Department,Financial Bid Opening,Services,120.0
77,2016-17,Industries and Commerce Department,Financial Evaluation,Works,180.0
78,2016-17,Industries and Commerce Department,Technical Bid Opening,Works,120.0
79,2016-17,Industries and Commerce Department,Technical Evaluation,Goods,180.0
80,2016-17,Industries and Commerce Department,Technical Evaluation,Works,242.0
81,2016-17,Industries and Commerce Department,To be Opened,Goods,180.0
82,2016-17,Industries and Commerce Department,To be Opened,Services,180.0
83,2016-17,Industries and Commerce Department,To be Opened,Works,191.25
84,2016-17,Information and Public Relations Department,Financial Evaluation,Works,120.0
85,2016-17,Information and Public Relations Department,To be Opened,Services,90.0
86,2016-17,Irrigation Department,AOC,Works,116.875
87,2016-17,Irrigation Department,Financial Bid Opening,Works,180.0
88,2016-17,Irrigation Department,Technical Evaluation,Works,180.0
89,2016-17,National Health Mission,AOC,Works,180.0
90,2016-17,National Health Mission,Financial Bid Opening,Goods,90.0
91,2016-17,National Health Mission,Financial Evaluation,Works,180.0
92,2016-17,National Health Mission,Technical Bid Opening,Works,180.0
93,2016-17,National Health Mission,Technical Evaluation,Goods,105.0
94,2016-17,National Health Mission,Technical Evaluation,Services,180.0
95,2016-17,National Health Mission,Technical Evaluation,Works,182.5
96,2016-17,National Health Mission,To be Opened,Goods,128.57142857142858
97,2016-17,National Health Mission,To be Opened,Services,180.0
98,2016-17,National Health Mission,To be Opened,Works,176.66666666666666
99,2016-17,National Register of Citizens Assam,Technical Evaluation,Goods,90.0
100,2016-17,Organizing Committee-South Asian Games,Technical Evaluation,Works,90.0
101,2016-17,Principal Secretary- P and RD- Assam Secretariat,Technical Bid Opening,Goods,180.0
102,2016-17,Principal Secretary- P and RD- Assam Secretariat,Technical Bid Opening,Works,180.0
103,2016-17,Principal Secretary- P and RD- Assam Secretariat,Technical Evaluation,Services,90.0
104,2016-17,Principal Secretary- P and RD- Assam Secretariat,Technical Evaluation,Works,180.0
105,2016-17,Principal Secretary- P and RD- Assam Secretariat,To be Opened,Goods,180.0
106,2016-17,Principal Secretary-Department of Information Technology,AOC,Goods,180.0
107,2016-17,Principal Secretary-Department of Information Technology,AOC,Services,120.0
108,2016-17,Principal Secretary-Department of Information Technology,Evaluation,Works,180.0
109,2016-17,Principal Secretary-Department of Information Technology,Financial Evaluation,Services,180.0
110,2016-17,Principal Secretary-Department of Information Technology,Technical Evaluation,Services,180.0
111,2016-17,Principal Secretary-Department of Information Technology,Technical Evaluation,Works,180.0
112,2016-17,Principal Secretary-Department of Information Technology,To be Opened,Services,180.0
113,2016-17,Public Health Engineering Department,AOC,Works,60.0
114,2016-17,Public Health Engineering Department,Bid Opening,Works,60.0
115,2016-17,Public Health Engineering Department,Technical Evaluation,Works,60.0
116,2016-17,Public Health Engineering Department,To be Opened,Works,120.0
117,2016-17,Public Works Building and NH Department,AOC,Works,180.0
118,2016-17,Public Works Building and NH Department,Financial Bid Opening,Works,180.0
119,2016-17,Public Works Building and NH Department,Financial Evaluation,Works,180.0
120,2016-17,Public Works Building and NH Department,Technical Bid Opening,Goods,180.0
121,2016-17,Public Works Building and NH Department,Technical Bid Opening,Works,112.5
122,2016-17,Public Works Building and NH Department,Technical Evaluation,Services,180.0
123,2016-17,Public Works Building and NH Department,Technical Evaluation,Works,176.04166666666666
124,2016-17,Public Works Building and NH Department,To be Opened,Goods,180.0
125,2016-17,Public Works Building and NH Department,To be Opened,Services,180.0
126,2016-17,Public Works Building and NH Department,To be Opened,Works,180.0
127,2016-17,Public Works Roads Department,AOC,Works,180.0
128,2016-17,Public Works Roads Department,Technical Evaluation,Works,180.0
129,2016-17,Public Works Roads Department,To be Opened,Works,180.0
130,2016-17,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Goods,180.0
131,2016-17,Rashtriya Madhyamik Siksha Abhijan,Technical Evaluation,Goods,112.5
132,2016-17,Rashtriya Madhyamik Siksha Abhijan,Technical Evaluation,Services,115.71428571428571
133,2016-17,Rashtriya Madhyamik Siksha Abhijan,To be Opened,Goods,90.0
134,2016-17,Social Welfare Department,AOC,Goods,45.0
135,2016-17,Social Welfare Department,Evaluation,Goods,45.0
136,2016-17,Social Welfare Department,Financial Bid Opening,Goods,45.0
137,2016-17,Social Welfare Department,Financial Evaluation,Goods,45.0
138,2016-17,Social Welfare Department,To be Opened,Goods,77.5
139,2016-17,Soil Conservation Department,AOC,Works,180.0
140,2016-17,Soil Conservation Department,Financial Bid Opening,Works,180.0
141,2016-17,Soil Conservation Department,Financial Evaluation,Works,180.0
142,2016-17,Soil Conservation Department,To be Opened,Works,225.0
143,2016-17,Taxation Department,Technical Evaluation,Goods,82.5
144,2016-17,Taxation Department,Technical Evaluation,Works,90.0
145,2016-17,Taxation Department,To be Opened,Goods,45.0
146,2016-17,Tea Tribes Welfare Department,To be Opened,Goods,90.0
147,2016-17,Urban Development Department,Technical Evaluation,Works,180.0
148,2016-17,Urban Development Department,To be Opened,Works,180.0
149,2016-17,Welfare of Plain Tribes and Backward Classes,AOC,Goods,90.0
150,2016-17,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,181.66666666666666
151,2017-18,Animal Husbandry and Veterinary Department,AOC,Goods,135.0
152,2017-18,Animal Husbandry and Veterinary Department,AOC,Works,180.0
153,2017-18,Animal Husbandry and Veterinary Department,Financial Bid Opening,Goods,270.0
154,2017-18,Animal Husbandry and Veterinary Department,Technical Evaluation,Goods,272.5
155,2017-18,Animal Husbandry and Veterinary Department,To be Opened,Goods,180.0
156,2017-18,Animal Husbandry and Veterinary Department,To be Opened,Works,180.0
157,2017-18,Assam Electricity Grid Corporation Ltd,AOC,Goods,180.0
158,2017-18,Assam Electricity Grid Corporation Ltd,AOC,Works,192.0
159,2017-18,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Goods,180.0
160,2017-18,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Works,180.0
161,2017-18,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Goods,165.0
162,2017-18,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Works,165.0
163,2017-18,Assam Electricity Grid Corporation Ltd,To be Opened,Goods,180.0
164,2017-18,Assam Electricity Grid Corporation Ltd,To be Opened,Works,200.0
165,2017-18,Assam Home Guards and Civil Defence Organization,AOC,Goods,180.0
166,2017-18,Assam Land Management and Information Society,Financial Evaluation,Goods,180.0
167,2017-18,Assam Land Management and Information Society,To be Opened,Goods,180.0
168,2017-18,Assam Police,AOC,Goods,346.5
169,2017-18,Assam Police,AOC,Services,90.0
170,2017-18,Assam Police,Financial Bid Opening,Goods,365.0
171,2017-18,Assam Police,Technical Evaluation,Goods,365.0
172,2017-18,Assam Police,To be Opened,Goods,211.11111111111111
173,2017-18,Assam Police Housing Corporation Ltd,Bid Opening,Works,60.0
174,2017-18,Assam Police Housing Corporation Ltd,Financial Bid Opening,Works,60.0
175,2017-18,Assam Police Housing Corporation Ltd,Financial Evaluation,Works,60.0
176,2017-18,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,60.0
177,2017-18,Assam Police Housing Corporation Ltd,To be Opened,Works,60.0
178,2017-18,Assam Power Distribution Company Ltd,AOC,Goods,180.0
179,2017-18,Assam Power Distribution Company Ltd,AOC,Works,180.17045454545453
180,2017-18,Assam Power Distribution Company Ltd,Financial Bid Opening,Works,180.0
181,2017-18,Assam Power Distribution Company Ltd,Financial Evaluation,Works,180.0
182,2017-18,Assam Power Distribution Company Ltd,Technical Evaluation,Works,172.22222222222223
183,2017-18,Assam Power Distribution Company Ltd,To be Opened,Goods,226.25
184,2017-18,Assam Power Distribution Company Ltd,To be Opened,Works,180.0
185,2017-18,Assam Power Generation Company Limited,AOC,Goods,120.0
186,2017-18,Assam Power Generation Company Limited,AOC,Works,135.0
187,2017-18,Assam Power Generation Company Limited,Financial Bid Opening,Works,105.0
188,2017-18,Assam Power Generation Company Limited,Financial Evaluation,Works,120.0
189,2017-18,Assam Power Generation Company Limited,Technical Bid Opening,Works,120.0
190,2017-18,Assam Power Generation Company Limited,Technical Evaluation,Works,95.0
191,2017-18,Assam Power Generation Company Limited,To be Opened,Goods,120.0
192,2017-18,Assam Power Generation Company Limited,To be Opened,Works,150.0
193,2017-18,Assam Power Generation Company Limited APGCL - ADB,Technical Bid Opening,Services,180.0
194,2017-18,Assam Society for Comprehensive Financial Management System,Evaluation,Services,90.0
195,2017-18,Assam Society for Comprehensive Financial Management System,To be Opened,Goods,120.0
196,2017-18,Assam Society for Comprehensive Financial Management System,To be Opened,Services,45.0
197,2017-18,Assam State Disaster Management Authority,AOC,Goods,180.0
198,2017-18,Assam State Disaster Management Authority,AOC,Services,180.0
199,2017-18,Assam State Disaster Management Authority,To be Opened,Goods,180.0
200,2017-18,Assam State Transport Corporation,AOC,Services,180.0
201,2017-18,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Services,90.0
202,2017-18,Axom Sarba Siksha Abhijan Mission,Technical Bid Opening,Services,90.0
203,2017-18,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,86.05263157894737
204,2017-18,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,84.0
205,2017-18,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,150.0
206,2017-18,Axom Sarba Siksha Abhijan Mission,To be Opened,Goods,96.0
207,2017-18,Axom Sarba Siksha Abhijan Mission,To be Opened,Services,90.0
208,2017-18,Axom Sarba Siksha Abhijan Mission,To be Opened,Works,112.5
209,2017-18,Bodoland Territorial Council,AOC,Goods,120.0
210,2017-18,Bodoland Territorial Council,AOC,Works,178.2
211,2017-18,Bodoland Territorial Council,Financial Bid Opening,Works,154.28571428571428
212,2017-18,Bodoland Territorial Council,Financial Evaluation,Goods,180.0
213,2017-18,Bodoland Territorial Council,Financial Evaluation,Works,166.30434782608697
214,2017-18,Bodoland Territorial Council,Technical Bid Opening,Goods,180.0
215,2017-18,Bodoland Territorial Council,Technical Bid Opening,Works,161.66666666666666
216,2017-18,Bodoland Territorial Council,Technical Evaluation,Goods,102.85714285714286
217,2017-18,Bodoland Territorial Council,Technical Evaluation,Works,178.23529411764707
218,2017-18,Bodoland Territorial Council,To be Opened,Goods,180.0
219,2017-18,Bodoland Territorial Council,To be Opened,Works,180.0
220,2017-18,Bodoland Territorial Council-PWD,AOC,Works,180.0
221,2017-18,Bodoland Territorial Council-PWD,Financial Bid Opening,Works,180.0
222,2017-18,Bodoland Territorial Council-PWD,Financial Evaluation,Works,180.0
223,2017-18,Bodoland Territorial Council-PWD,Technical Evaluation,Works,180.0
224,2017-18,Bodoland Territorial Council-PWD,To be Opened,Works,180.0
225,2017-18,Bodoland Territorial Council-WRD,AOC,Works,166.93548387096774
226,2017-18,Bodoland Territorial Council-WRD,Technical Evaluation,Works,180.0
227,2017-18,Bodoland Territorial Council-WRD,To be Opened,Works,162.0
228,2017-18,Commissionerate Of Transport,Technical Evaluation,Goods,180.0
229,2017-18,Commissionerate Of Transport,Technical Evaluation,Services,90.0
230,2017-18,Commissionerate Of Transport,To be Opened,Goods,90.0
231,2017-18,Commissionerate Of Transport,To be Opened,Services,90.0
232,2017-18,Cooperation Department,AOC,Works,180.0
233,2017-18,Cooperation Department,Financial Evaluation,Works,180.0
234,2017-18,Cooperation Department,Technical Evaluation,Works,180.0
235,2017-18,Cooperation Department,To be Opened,Works,180.0
236,2017-18,Cotton University,AOC,Works,180.0
237,2017-18,Department of Cultural Affairs,AOC,Works,180.0
238,2017-18,Department of Cultural Affairs,Financial Evaluation,Works,135.0
239,2017-18,Department of Cultural Affairs,Technical Bid Opening,Goods,180.0
240,2017-18,Department of Cultural Affairs,Technical Bid Opening,Works,90.0
241,2017-18,Department of Cultural Affairs,Technical Evaluation,Goods,180.0
242,2017-18,Department of Cultural Affairs,Technical Evaluation,Works,106.36363636363636
243,2017-18,Department of Cultural Affairs,To be Opened,Goods,180.0
244,2017-18,Department of Cultural Affairs,To be Opened,Works,175.26315789473685
245,2017-18,Department of Fisheries,AOC,Works,180.0
246,2017-18,Department of Fisheries,Technical Evaluation,Works,180.0
247,2017-18,Department of Fisheries,To be Opened,Works,180.0
248,2017-18,Department of Handloom Textile and Sericulture,Financial Evaluation,Goods,365.0
249,2017-18,Department of Handloom Textile and Sericulture,Financial Evaluation,Works,174.54545454545453
250,2017-18,Department of Handloom Textile and Sericulture,Technical Bid Opening,Works,180.0
251,2017-18,Department of Handloom Textile and Sericulture,Technical Evaluation,Works,172.5
252,2017-18,Department of Handloom Textile and Sericulture,To be Opened,Works,165.23809523809524
253,2017-18,Department of Higher Education,AOC,Works,180.0
254,2017-18,Department of Higher Education,Financial Evaluation,Works,180.0
255,2017-18,Department of Higher Education,Technical Evaluation,Goods,31.973684210526315
256,2017-18,Department of Higher Education,To be Opened,Goods,36.81818181818182
257,2017-18,Department of Higher Education,To be Opened,Services,180.0
258,2017-18,Department of Science and Technology,Financial Bid Opening,Works,365.0
259,2017-18,Department of Science and Technology,Technical Evaluation,Works,120.0
260,2017-18,Department of Science and Technology,To be Opened,Works,365.0
261,2017-18,Department of Tourism,AOC,Works,180.0
262,2017-18,Department of Tourism,To be Opened,Works,180.0
263,2017-18,Department of Water Resources,AOC,Works,173.20754716981133
264,2017-18,Department of Water Resources,Bid Opening,Works,120.0
265,2017-18,Department of Water Resources,Financial Bid Opening,Goods,180.0
266,2017-18,Department of Water Resources,Financial Bid Opening,Works,180.0
267,2017-18,Department of Water Resources,Financial Evaluation,Works,180.0
268,2017-18,Department of Water Resources,Technical Bid Opening,Works,180.0
269,2017-18,Department of Water Resources,Technical Evaluation,Goods,180.0
270,2017-18,Department of Water Resources,Technical Evaluation,Works,180.0
271,2017-18,Department of Water Resources,To be Opened,Goods,180.0
272,2017-18,Department of Water Resources,To be Opened,Services,180.0
273,2017-18,Department of Water Resources,To be Opened,Works,179.0
274,2017-18,Director- Fire and Emergency Services-Assam,AOC,Goods,365.0
275,2017-18,Director- Fire and Emergency Services-Assam,AOC,Works,208.46153846153845
276,2017-18,Director- Fire and Emergency Services-Assam,Evaluation,Goods,365.0
277,2017-18,Director- Fire and Emergency Services-Assam,To be Opened,Works,180.0
278,2017-18,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,90.0
279,2017-18,Directorate of Agriculture and Assam Seed Corporation,AOC,Services,60.0
280,2017-18,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,45.0
281,2017-18,Directorate of Agriculture and Assam Seed Corporation,Evaluation,Services,181.66666666666666
282,2017-18,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,163.33333333333334
283,2017-18,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Services,90.0
284,2017-18,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Works,105.0
285,2017-18,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Goods,45.0
286,2017-18,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Works,90.0
287,2017-18,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Goods,227.5
288,2017-18,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Services,67.5
289,2017-18,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Works,90.0
290,2017-18,Directorate of Agriculture and Assam Seed Corporation,To be Opened,Goods,90.0
291,2017-18,Directorate of Agriculture and Assam Seed Corporation,To be Opened,Works,120.0
292,2017-18,Directorate of Forensic Science Assam,Financial Bid Opening,Goods,180.0
293,2017-18,Directorate of Forensic Science Assam,Technical Evaluation,Goods,180.0
294,2017-18,Directorate of Forensic Science Assam,To be Opened,Goods,180.0
295,2017-18,Directorate of Horticulture Assam,Financial Evaluation,Goods,90.0
296,2017-18,Directorate of Horticulture Assam,To be Opened,Services,90.0
297,2017-18,Directorate of Sports and Youth Welfare - Assam,AOC,Services,60.0
298,2017-18,Directorate of Sports and Youth Welfare - Assam,AOC,Works,90.0
299,2017-18,Directorate of Sports and Youth Welfare - Assam,Technical Evaluation,Goods,75.0
300,2017-18,Directorate of Sports and Youth Welfare - Assam,To be Opened,Goods,60.0
301,2017-18,Directorate of Sports and Youth Welfare - Assam,To be Opened,Services,60.0
302,2017-18,Directorate of Sports and Youth Welfare - Assam,To be Opened,Works,60.0
303,2017-18,Elementary Education Department,AOC,Goods,90.0
304,2017-18,Elementary Education Department,To be Opened,Goods,90.0
305,2017-18,Elementary Education Department,To be Opened,Works,90.0
306,2017-18,Excise Department,To be Opened,Goods,60.0
307,2017-18,Food Civil Supplies and Consumer Affairs Department,AOC,Goods,365.0
308,2017-18,Food Civil Supplies and Consumer Affairs Department,AOC,Services,365.0
309,2017-18,Food Civil Supplies and Consumer Affairs Department,Evaluation,Goods,365.0
310,2017-18,Food Civil Supplies and Consumer Affairs Department,Financial Bid Opening,Goods,365.0
311,2017-18,Food Civil Supplies and Consumer Affairs Department,Financial Evaluation,Goods,365.0
312,2017-18,Food Civil Supplies and Consumer Affairs Department,Technical Evaluation,Goods,365.0
313,2017-18,Food Civil Supplies and Consumer Affairs Department,Technical Evaluation,Works,365.0
314,2017-18,Food Civil Supplies and Consumer Affairs Department,To be Opened,Goods,365.0
315,2017-18,Gauhati High Court - Guwahati,AOC,Goods,200.0
316,2017-18,Gauhati High Court - Guwahati,Technical Bid Opening,Goods,180.0
317,2017-18,Gauhati High Court - Guwahati,To be Opened,Goods,180.0
318,2017-18,General Administration Department,Financial Evaluation,Services,120.0
319,2017-18,General Administration Department,To be Opened,Services,120.0
320,2017-18,Guwahati Metropolitan Development Authority,Evaluation,Works,120.0
321,2017-18,Guwahati Metropolitan Development Authority,Financial Evaluation,Works,180.0
322,2017-18,Guwahati Metropolitan Development Authority,Technical Bid Opening,Works,120.0
323,2017-18,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,120.0
324,2017-18,Guwahati Metropolitan Development Authority,To be Opened,Services,180.0
325,2017-18,Guwahati Metropolitan Development Authority,To be Opened,Works,120.0
326,2017-18,Guwahati Municipal Corporation,AOC,Works,734.6376811594203
327,2017-18,Guwahati Municipal Corporation,Evaluation,Works,135.0
328,2017-18,Guwahati Municipal Corporation,Financial Evaluation,Goods,90.0
329,2017-18,Guwahati Municipal Corporation,Financial Evaluation,Works,120.0
330,2017-18,Guwahati Municipal Corporation,Technical Bid Opening,Works,90.0
331,2017-18,Guwahati Municipal Corporation,Technical Evaluation,Works,682.0
332,2017-18,Guwahati Municipal Corporation,To be Opened,Works,404.17543859649123
333,2017-18,Guwahati Smart City Ltd.,Technical Evaluation,Works,180.0
334,2017-18,Guwahati Smart City Ltd.,To be Opened,Works,161.53846153846155
335,2017-18,Health and Family Welfare Department,AOC,Goods,354.44444444444446
336,2017-18,Health and Family Welfare Department,AOC,Services,90.0
337,2017-18,Health and Family Welfare Department,AOC,Works,120.0
338,2017-18,Health and Family Welfare Department,Financial Bid Opening,Goods,90.0
339,2017-18,Health and Family Welfare Department,Financial Bid Opening,Services,410.0
340,2017-18,Health and Family Welfare Department,Financial Bid Opening,Works,90.0
341,2017-18,Health and Family Welfare Department,Financial Evaluation,Goods,428.875
342,2017-18,Health and Family Welfare Department,Financial Evaluation,Services,303.3333333333333
343,2017-18,Health and Family Welfare Department,Technical Bid Opening,Goods,408.8
344,2017-18,Health and Family Welfare Department,Technical Bid Opening,Services,363.3333333333333
345,2017-18,Health and Family Welfare Department,Technical Evaluation,Goods,435.9259259259259
346,2017-18,Health and Family Welfare Department,Technical Evaluation,Services,45.0
347,2017-18,Health and Family Welfare Department,To be Opened,Goods,418.8636363636364
348,2017-18,Health and Family Welfare Department,To be Opened,Services,272.85714285714283
349,2017-18,Higher Education (Technical) Department,Financial Bid Opening,Goods,90.0
350,2017-18,Higher Education (Technical) Department,Financial Evaluation,Goods,90.0
351,2017-18,Higher Education (Technical) Department,Technical Bid Opening,Goods,90.0
352,2017-18,Higher Education (Technical) Department,To be Opened,Goods,90.0
353,2017-18,Home B,AOC,Goods,365.0
354,2017-18,Home B,Financial Evaluation,Goods,365.0
355,2017-18,Home B,Financial Evaluation,Services,365.0
356,2017-18,Home B,Technical Bid Opening,Goods,365.0
357,2017-18,Industries and Commerce Department,AOC,Goods,158.57142857142858
358,2017-18,Industries and Commerce Department,AOC,Services,146.66666666666666
359,2017-18,Industries and Commerce Department,AOC,Works,136.36363636363637
360,2017-18,Industries and Commerce Department,Bid Opening,Services,60.0
361,2017-18,Industries and Commerce Department,Bid Opening,Works,180.0
362,2017-18,Industries and Commerce Department,Evaluation,Works,180.0
363,2017-18,Industries and Commerce Department,Financial Bid Opening,Goods,210.0
364,2017-18,Industries and Commerce Department,Financial Bid Opening,Services,90.0
365,2017-18,Industries and Commerce Department,Financial Bid Opening,Works,177.5
366,2017-18,Industries and Commerce Department,Financial Evaluation,Goods,120.0
367,2017-18,Industries and Commerce Department,Financial Evaluation,Services,272.5
368,2017-18,Industries and Commerce Department,Financial Evaluation,Works,180.0
369,2017-18,Industries and Commerce Department,Technical Bid Opening,Goods,180.0
370,2017-18,Industries and Commerce Department,Technical Bid Opening,Services,272.5
371,2017-18,Industries and Commerce Department,Technical Bid Opening,Works,150.0
372,2017-18,Industries and Commerce Department,Technical Evaluation,Goods,203.88888888888889
373,2017-18,Industries and Commerce Department,Technical Evaluation,Services,165.83333333333334
374,2017-18,Industries and Commerce Department,Technical Evaluation,Works,197.61904761904762
375,2017-18,Industries and Commerce Department,To be Opened,Goods,243.75
376,2017-18,Industries and Commerce Department,To be Opened,Services,173.57142857142858
377,2017-18,Industries and Commerce Department,To be Opened,Works,171.13636363636363
378,2017-18,Information and Public Relations Department,To be Opened,Works,135.0
379,2017-18,Irrigation Department,AOC,Works,180.0
380,2017-18,Irrigation Department,Financial Evaluation,Works,180.0
381,2017-18,Irrigation Department,Technical Evaluation,Works,180.0
382,2017-18,Irrigation Department,To be Opened,Works,180.0
383,2017-18,Karbi Anglong Autonomous Council,Financial Evaluation,Works,180.0
384,2017-18,Karbi Anglong Autonomous Council,To be Opened,Works,180.0
385,2017-18,Mines  and Minerals Department,AOC,Goods,180.0
386,2017-18,Mines  and Minerals Department,Financial Evaluation,Goods,180.0
387,2017-18,Mines  and Minerals Department,Technical Evaluation,Services,180.0
