,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,saving/overrun,tender_count
191,2020-2021,Department of Cultural Affairs,AOC,Works,Samevalue,36
192,2020-2021,Department of Cultural Affairs,Cancelled,Works,Samevalue,1
193,2020-2021,Department of Cultural Affairs,Financial Bid Opening,Works,Samevalue,1
194,2020-2021,Department of Cultural Affairs,Retender,Works,Samevalue,4
195,2020-2021,Department of Cultural Affairs,Technical Evaluation,Works,Samevalue,1
196,2020-2021,Department of Fisheries,AOC,Services,Samevalue,1
197,2020-2021,Department of Fisheries,Cancelled,Works,Samevalue,1
198,2020-2021,Department of Fisheries,Retender,Services,Samevalue,1
199,2020-2021,Department of Handloom Textile and Sericulture,AOC,Goods,Samevalue,4
200,2020-2021,Department of Handloom Textile and Sericulture,AOC,Works,Samevalue,1
201,2020-2021,Department of Handloom Textile and Sericulture,Cancelled,Works,Samevalue,1
202,2020-2021,Department of Handloom Textile and Sericulture,Technical Evaluation,Works,Samevalue,1
203,2020-2021,Department of Labour and Welfare,AOC,Services,Samevalue,1
204,2020-2021,Department of Science and Technology,AOC,Goods,Samevalue,1
205,2020-2021,Department of Tourism,AOC,Goods,Samevalue,1
206,2020-2021,Department of Water Resources,AOC,Works,Samevalue,41
207,2020-2021,Department of Water Resources,Cancelled,Works,Samevalue,1
208,2020-2021,Department of Water Resources,Retender,Works,Samevalue,6
209,2020-2021,Dibrugarh University,AOC,Goods,Samevalue,1
210,2020-2021,Dibrugarh University,AOC,Works,Samevalue,2
211,2020-2021,Director- Fire and Emergency Services-Assam,AOC,Goods,Samevalue,2
212,2020-2021,Director- Fire and Emergency Services-Assam,AOC,Works,Samevalue,7
213,2020-2021,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,Samevalue,1
214,2020-2021,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Samevalue,1
215,2020-2021,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Goods,Samevalue,1
216,2020-2021,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Works,Samevalue,1
217,2020-2021,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,Samevalue,3
218,2020-2021,Directorate of Horticulture Assam,AOC,Goods,Samevalue,1
219,2020-2021,Directorate of Horticulture Assam,Cancelled,Works,Samevalue,1
220,2020-2021,Directorate of Land Records and Survey etc. Assam,AOC,Goods,Samevalue,2
221,2020-2021,Directorate of Land Records and Survey etc. Assam,AOC,Works,Samevalue,1
222,2020-2021,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,Samevalue,1
223,2020-2021,Elementary Education Department,AOC,Goods,Samevalue,1
224,2020-2021,Elementary Education Department,AOC,Services,Samevalue,1
225,2020-2021,Elementary Education Department,Retender,Services,Samevalue,1
226,2020-2021,Finance Department - World Bank Tenders,AOC,Goods,Samevalue,1
227,2020-2021,Finance Department - World Bank Tenders,AOC,Services,Samevalue,7
228,2020-2021,Food Civil Supplies and Consumer Affairs Department,AOC,Goods,Samevalue,2
229,2020-2021,Food Civil Supplies and Consumer Affairs Department,AOC,Services,Samevalue,1
230,2020-2021,Food Civil Supplies and Consumer Affairs Department,Financial Bid Opening,Goods,Samevalue,2
231,2020-2021,Gauhati University,AOC,Works,Samevalue,1
232,2020-2021,Gauhati University,Retender,Works,Samevalue,1
233,2020-2021,Guwahati Metropolitan Development Authority,AOC,Services,Samevalue,1
234,2020-2021,Guwahati Metropolitan Development Authority,AOC,Works,Saving,2
235,2020-2021,Guwahati Metropolitan Development Authority,Cancelled,Works,Samevalue,2
236,2020-2021,Guwahati Metropolitan Development Authority,Technical Evaluation,Services,Samevalue,1
237,2020-2021,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,Samevalue,2
238,2020-2021,Guwahati Municipal Corporation,AOC,Goods,Samevalue,1
239,2020-2021,Guwahati Municipal Corporation,AOC,Services,Samevalue,1
240,2020-2021,Guwahati Municipal Corporation,AOC,Works,Samevalue,5
241,2020-2021,Guwahati Municipal Corporation,AOC,Works,Saving,3
242,2020-2021,Guwahati Municipal Corporation,Cancelled,Goods,Samevalue,1
243,2020-2021,Guwahati Municipal Corporation,Cancelled,Works,Samevalue,62
244,2020-2021,Guwahati Municipal Corporation,Financial Bid Opening,Works,Samevalue,2
245,2020-2021,Guwahati Municipal Corporation,Financial Evaluation,Works,Samevalue,6
246,2020-2021,Guwahati Municipal Corporation,Retender,Works,Samevalue,10
247,2020-2021,Guwahati Smart City Ltd.,Cancelled,Works,Samevalue,3
248,2020-2021,Health and Family Welfare Department,AOC,Goods,Samevalue,19
249,2020-2021,Health and Family Welfare Department,AOC,Goods,Saving,1
250,2020-2021,Health and Family Welfare Department,AOC,Services,Samevalue,8
251,2020-2021,Health and Family Welfare Department,Cancelled,Goods,Samevalue,14
252,2020-2021,Health and Family Welfare Department,Cancelled,Services,Samevalue,2
253,2020-2021,Health and Family Welfare Department,Financial Evaluation,Goods,Samevalue,7
254,2020-2021,Health and Family Welfare Department,Financial Evaluation,Services,Samevalue,1
255,2020-2021,Health and Family Welfare Department,Retender,Goods,Samevalue,6
256,2020-2021,Health and Family Welfare Department,Retender,Services,Samevalue,1
257,2020-2021,Health and Family Welfare Department,Technical Evaluation,Goods,Samevalue,5
258,2020-2021,Health and Family Welfare Department,To Be Opened,Goods,Samevalue,1
259,2020-2021,Higher Education (Technical) Department,AOC,Goods,Samevalue,2
260,2020-2021,Higher Education (Technical) Department,Financial Evaluation,Goods,Samevalue,1
261,2020-2021,Hill Areas Department,AOC,Goods,Samevalue,13
262,2020-2021,Hill Areas Department,Retender,Goods,Samevalue,1
263,2020-2021,Home B,AOC,Goods,Samevalue,15
264,2020-2021,Home B,Cancelled,Goods,Samevalue,12
265,2020-2021,Industries and Commerce Department,AOC,Goods,Overrun,2
266,2020-2021,Industries and Commerce Department,AOC,Goods,Samevalue,10
267,2020-2021,Industries and Commerce Department,AOC,Services,Samevalue,5
268,2020-2021,Industries and Commerce Department,AOC,Works,Samevalue,34
269,2020-2021,Industries and Commerce Department,Cancelled,Goods,Samevalue,7
270,2020-2021,Industries and Commerce Department,Cancelled,Services,Samevalue,4
271,2020-2021,Industries and Commerce Department,Cancelled,Works,Samevalue,34
272,2020-2021,Industries and Commerce Department,Financial Bid Opening,Goods,Samevalue,2
273,2020-2021,Industries and Commerce Department,Financial Bid Opening,Services,Samevalue,1
274,2020-2021,Industries and Commerce Department,Financial Bid Opening,Works,Samevalue,2
275,2020-2021,Industries and Commerce Department,Retender,Works,Samevalue,7
276,2020-2021,Industries and Commerce Department,Technical Evaluation,Goods,Samevalue,2
277,2020-2021,Industries and Commerce Department,To Be Opened,Works,Samevalue,1
278,2020-2021,Information and Public Relations Department,AOC,Services,Samevalue,1
279,2020-2021,Irrigation Department,AOC,Goods,Samevalue,2
280,2020-2021,Irrigation Department,AOC,Works,Samevalue,26
281,2020-2021,Irrigation Department,Cancelled,Works,Samevalue,15
282,2020-2021,Karbi Anglong Autonomous Council,AOC,Goods,Samevalue,1
283,2020-2021,Karbi Anglong Autonomous Council,AOC,Works,Samevalue,2
284,2020-2021,National Health Mission,AOC,Goods,Samevalue,16
285,2020-2021,National Health Mission,AOC,Services,Samevalue,3
286,2020-2021,National Health Mission,AOC,Works,Samevalue,22
287,2020-2021,National Health Mission,Cancelled,Goods,Samevalue,4
288,2020-2021,National Health Mission,Cancelled,Services,Samevalue,1
289,2020-2021,National Health Mission,Cancelled,Works,Samevalue,7
290,2020-2021,National Health Mission,Financial Bid Opening,Works,Samevalue,5
291,2020-2021,National Health Mission,Financial Evaluation,Goods,Samevalue,2
292,2020-2021,National Health Mission,Financial Evaluation,Services,Samevalue,1
293,2020-2021,National Health Mission,Financial Evaluation,Works,Samevalue,12
294,2020-2021,National Health Mission,Retender,Works,Samevalue,1
295,2020-2021,National Health Mission,Technical Evaluation,Goods,Samevalue,1
296,2020-2021,National Health Mission,Technical Evaluation,Services,Samevalue,1
297,2020-2021,National Health Mission,Technical Evaluation,Works,Samevalue,12
298,2020-2021,Office of the Chief Electoral Officer Assam,AOC,Services,Samevalue,1
299,2020-2021,Pollution Control Board,Retender,Works,Samevalue,1
300,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,Samevalue,5
301,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,Saving,2
302,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,Samevalue,9
303,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,Samevalue,17
304,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Samevalue,23
305,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Goods,Samevalue,4
306,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Works,Samevalue,1
307,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Retender,Goods,Samevalue,4
308,2020-2021,Principal Secretary-Department of Information Technology,AOC,Services,Samevalue,2
309,2020-2021,Principal Secretary-Department of Information Technology,AOC,Works,Samevalue,1
310,2020-2021,Principal Secretary-Department of Information Technology,Cancelled,Goods,Samevalue,2
311,2020-2021,Principal Secretary-Department of Information Technology,Cancelled,Works,Samevalue,1
312,2020-2021,Public Health Engineering Department,AOC,Goods,Samevalue,2
313,2020-2021,Public Health Engineering Department,AOC,Services,Samevalue,2
314,2020-2021,Public Health Engineering Department,AOC,Works,Samevalue,11
315,2020-2021,Public Health Engineering Department,Cancelled,Services,Samevalue,4
316,2020-2021,Public Health Engineering Department,Cancelled,Works,Samevalue,1
317,2020-2021,Public Health Engineering Department,Financial Evaluation,Goods,Samevalue,1
318,2020-2021,Public Works Building and NH Department,AOC,Works,Overrun,2
319,2020-2021,Public Works Building and NH Department,AOC,Works,Samevalue,166
320,2020-2021,Public Works Building and NH Department,Cancelled,Goods,Samevalue,2
321,2020-2021,Public Works Building and NH Department,Cancelled,Works,Samevalue,6
322,2020-2021,Public Works Building and NH Department,Financial Bid Opening,Works,Samevalue,2
323,2020-2021,Public Works Building and NH Department,Financial Evaluation,Works,Samevalue,4
324,2020-2021,Public Works Building and NH Department,Retender,Works,Samevalue,2
325,2020-2021,Public Works Building and NH Department,Technical Bid Opening,Works,Samevalue,1
326,2020-2021,Public Works Roads Department,AOC,Services,Samevalue,1
327,2020-2021,Public Works Roads Department,AOC,Works,Overrun,1
328,2020-2021,Public Works Roads Department,AOC,Works,Samevalue,406
329,2020-2021,Public Works Roads Department,AOC,Works,Saving,19
330,2020-2021,Public Works Roads Department,Cancelled,Works,Samevalue,24
331,2020-2021,Public Works Roads Department,Financial Bid Opening,Works,Samevalue,28
332,2020-2021,Public Works Roads Department,Financial Evaluation,Works,Samevalue,2
333,2020-2021,Public Works Roads Department,Retender,Works,Samevalue,10
334,2020-2021,Public Works Roads Department,Technical Bid Opening,Works,Samevalue,1
335,2020-2021,Public Works Roads Department,Technical Evaluation,Works,Samevalue,14
336,2020-2021,Rashtriya Madhyamik Siksha Abhijan,Cancelled,Goods,Samevalue,1
337,2020-2021,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Services,Samevalue,1
338,2020-2021,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Works,Samevalue,1
339,2020-2021,Skill Employment and Entrepreneurship Department,AOC,Services,Samevalue,2
340,2020-2021,Skill Employment and Entrepreneurship Department,Cancelled,Services,Samevalue,3
341,2020-2021,Social Welfare Department,AOC,Goods,Samevalue,2
342,2020-2021,Social Welfare Department,Cancelled,Goods,Samevalue,1
343,2020-2021,Social Welfare Department,Cancelled,Works,Samevalue,2
344,2020-2021,Soil Conservation Department,AOC,Works,Samevalue,15
345,2020-2021,Soil Conservation Department,Retender,Works,Samevalue,1
346,2020-2021,Tea Tribes Welfare Department,AOC,Goods,Samevalue,1
347,2020-2021,Tea Tribes Welfare Department,Cancelled,Goods,Samevalue,1
348,2020-2021,Transport Department,AOC,Services,Samevalue,1
349,2020-2021,Transport Department,Financial Bid Opening,Goods,Samevalue,1
350,2020-2021,Transport Department,Retender,Goods,Samevalue,1
351,2020-2021,Transport Department,Retender,Services,Samevalue,1
352,2020-2021,Transport Department,Technical Evaluation,Services,Samevalue,1
353,2020-2021,Urban Development Department,AOC,Works,Samevalue,25
354,2020-2021,Urban Development Department,Cancelled,Works,Samevalue,3
355,2020-2021,Urban Development Department,Retender,Works,Samevalue,3
356,2020-2021,Urban Development Department,Technical Bid Opening,Works,Samevalue,5
357,2020-2021,Urban Development Department,Technical Evaluation,Works,Samevalue,1
358,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Goods,Samevalue,32
359,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Services,Samevalue,2
360,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,Samevalue,19
361,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,Saving,9
362,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,Samevalue,18
363,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Services,Samevalue,1
