,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,tender/procurementMethod,tender_count
318,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,Open Tender,2
319,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,Open,9
320,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,Open,17
321,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Open,20
322,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Open Tender,3
323,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Goods,Open,4
324,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Works,Open,1
325,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Retender,Goods,Open,4
326,2020-2021,Principal Secretary-Department of Information Technology,AOC,Services,Open,2
327,2020-2021,Principal Secretary-Department of Information Technology,AOC,Works,Open,1
328,2020-2021,Principal Secretary-Department of Information Technology,Cancelled,Goods,Open,2
329,2020-2021,Principal Secretary-Department of Information Technology,Cancelled,Works,Open,1
330,2020-2021,Public Health Engineering Department,AOC,Goods,Open,2
331,2020-2021,Public Health Engineering Department,AOC,Services,Open,2
332,2020-2021,Public Health Engineering Department,AOC,Works,Open,11
333,2020-2021,Public Health Engineering Department,Cancelled,Services,Open,4
334,2020-2021,Public Health Engineering Department,Cancelled,Works,Open,1
335,2020-2021,Public Health Engineering Department,Financial Evaluation,Goods,Open,1
336,2020-2021,Public Works Building and NH Department,AOC,Works,Open,166
337,2020-2021,Public Works Building and NH Department,AOC,Works,Open Tender,2
338,2020-2021,Public Works Building and NH Department,Cancelled,Goods,Open,2
339,2020-2021,Public Works Building and NH Department,Cancelled,Works,Open,6
340,2020-2021,Public Works Building and NH Department,Financial Bid Opening,Works,Open,2
341,2020-2021,Public Works Building and NH Department,Financial Evaluation,Works,Open,4
342,2020-2021,Public Works Building and NH Department,Retender,Works,Open,2
343,2020-2021,Public Works Building and NH Department,Technical Bid Opening,Works,Open,1
344,2020-2021,Public Works Roads Department,AOC,Services,Open,1
345,2020-2021,Public Works Roads Department,AOC,Works,Open,409
346,2020-2021,Public Works Roads Department,AOC,Works,Open Tender,17
347,2020-2021,Public Works Roads Department,Cancelled,Works,Open,22
348,2020-2021,Public Works Roads Department,Cancelled,Works,Open Tender,2
349,2020-2021,Public Works Roads Department,Financial Bid Opening,Works,Open,28
350,2020-2021,Public Works Roads Department,Financial Evaluation,Works,Open,2
351,2020-2021,Public Works Roads Department,Retender,Works,Open,10
352,2020-2021,Public Works Roads Department,Technical Bid Opening,Works,Open,1
353,2020-2021,Public Works Roads Department,Technical Evaluation,Works,Open,14
354,2020-2021,Rashtriya Madhyamik Siksha Abhijan,Cancelled,Goods,Open,1
355,2020-2021,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Services,Open,1
356,2020-2021,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Works,Open,1
357,2020-2021,Skill Employment and Entrepreneurship Department,AOC,Services,Open,2
358,2020-2021,Skill Employment and Entrepreneurship Department,Cancelled,Services,Open,3
359,2020-2021,Social Welfare Department,AOC,Goods,Open,2
360,2020-2021,Social Welfare Department,Cancelled,Goods,Open Tender,1
361,2020-2021,Social Welfare Department,Cancelled,Works,Open,2
362,2020-2021,Soil Conservation Department,AOC,Works,Open,15
363,2020-2021,Soil Conservation Department,Retender,Works,Open,1
364,2020-2021,Tea Tribes Welfare Department,AOC,Goods,Open,1
365,2020-2021,Tea Tribes Welfare Department,Cancelled,Goods,Open,1
366,2020-2021,Transport Department,AOC,Services,Open,1
367,2020-2021,Transport Department,Financial Bid Opening,Goods,Open,1
368,2020-2021,Transport Department,Retender,Goods,Open,1
369,2020-2021,Transport Department,Retender,Services,Open,1
370,2020-2021,Transport Department,Technical Evaluation,Services,Open,1
371,2020-2021,Urban Development Department,AOC,Works,Open,25
372,2020-2021,Urban Development Department,Cancelled,Works,Open,3
373,2020-2021,Urban Development Department,Retender,Works,Open,3
374,2020-2021,Urban Development Department,Technical Bid Opening,Works,Open,5
375,2020-2021,Urban Development Department,Technical Evaluation,Works,Open,1
376,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Goods,Open,32
377,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Services,Open,2
378,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,Limited,5
379,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,Open,8
380,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,Open Tender,13
381,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,Selective,2
382,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,Open,18
383,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Services,Open,1
384,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,Open,13
385,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,Open,4
386,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,Open,7
387,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,Open,2
388,2020-2021,Welfare of Plain Tribes and Backward Classes,Retender,Works,Open,1
389,2020-2021,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Goods,Open,2
