,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,number_of_bids,tender_count
44,2018-2019,Health and Family Welfare Department,Cancelled,Goods,2 bids,1
45,2018-2019,Industries and Commerce Department,AOC,Works,3 bids,2
46,2018-2019,Industries and Commerce Department,AOC,Works,4 and more bids,1
47,2018-2019,Industries and Commerce Department,Cancelled,Goods,2 bids,1
48,2018-2019,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,2 bids,1
49,2018-2019,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,3 bids,1
50,2018-2019,Principal Secretary-Department of Information Technology,Cancelled,Services,1 bids,1
51,2018-2019,Public Works Building and NH Department,AOC,Works,0 bids,4
52,2018-2019,Public Works Building and NH Department,AOC,Works,1 bids,3
53,2018-2019,Public Works Building and NH Department,AOC,Works,2 bids,3
54,2018-2019,Public Works Building and NH Department,AOC,Works,3 bids,4
55,2018-2019,Public Works Building and NH Department,AOC,Works,4 and more bids,2
56,2018-2019,Public Works Roads Department,AOC,Works,0 bids,4
57,2018-2019,Public Works Roads Department,AOC,Works,2 bids,1
58,2018-2019,Urban Development Department,AOC,Works,0 bids,1
59,2018-2019,Welfare of Plain Tribes and Backward Classes,AOC,Goods,4 and more bids,1
60,2019-2020,Animal Husbandry and Veterinary Department,AOC,Works,3 bids,1
61,2019-2020,Animal Husbandry and Veterinary Department,AOC,Works,4 and more bids,3
62,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Goods,4 and more bids,1
63,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Services,4 and more bids,4
64,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Works,1 bids,1
65,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Works,2 bids,3
66,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Works,3 bids,2
67,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Works,4 and more bids,3
68,2019-2020,Assam Electricity Grid Corporation Ltd,Cancelled,Services,4 and more bids,1
69,2019-2020,Assam Electricity Grid Corporation Ltd,Cancelled,Works,2 bids,1
70,2019-2020,Assam Electricity Grid Corporation Ltd,Cancelled,Works,4 and more bids,1
71,2019-2020,Assam Inland Water Transport Development Society,AOC,Goods,2 bids,1
72,2019-2020,Assam Inland Water Transport Development Society,AOC,Goods,3 bids,1
73,2019-2020,Assam Inland Water Transport Development Society,AOC,Goods,4 and more bids,6
74,2019-2020,Assam Inland Water Transport Development Society,AOC,Services,4 and more bids,1
75,2019-2020,Assam Inland Water Transport Development Society,AOC,Works,2 bids,1
76,2019-2020,Assam Inland Water Transport Development Society,AOC,Works,3 bids,1
77,2019-2020,Assam Inland Water Transport Development Society,AOC,Works,4 and more bids,1
78,2019-2020,Assam Police,AOC,Goods,4 and more bids,4
79,2019-2020,Assam Police,AOC,Services,4 and more bids,1
80,2019-2020,Assam Police Housing Corporation Ltd,AOC,Works,1 bids,2
81,2019-2020,Assam Police Housing Corporation Ltd,AOC,Works,2 bids,7
82,2019-2020,Assam Police Housing Corporation Ltd,AOC,Works,3 bids,2
83,2019-2020,Assam Police Housing Corporation Ltd,AOC,Works,4 and more bids,9
84,2019-2020,Assam Power Distribution Company Ltd,AOC,Goods,2 bids,2
85,2019-2020,Assam Power Distribution Company Ltd,AOC,Goods,3 bids,1
86,2019-2020,Assam Power Distribution Company Ltd,AOC,Goods,4 and more bids,8
87,2019-2020,Assam Power Distribution Company Ltd,AOC,Services,1 bids,1
88,2019-2020,Assam Power Distribution Company Ltd,AOC,Services,2 bids,14
89,2019-2020,Assam Power Distribution Company Ltd,AOC,Services,3 bids,12
90,2019-2020,Assam Power Distribution Company Ltd,AOC,Services,4 and more bids,11
91,2019-2020,Assam Power Distribution Company Ltd,AOC,Works,2 bids,1
92,2019-2020,Assam Power Distribution Company Ltd,AOC,Works,4 and more bids,2
93,2019-2020,Assam Power Distribution Company Ltd,Cancelled,Services,1 bids,1
94,2019-2020,Assam Power Generation Company Limited,AOC,Goods,3 bids,2
95,2019-2020,Assam Power Generation Company Limited,AOC,Services,4 and more bids,2
96,2019-2020,Assam Power Generation Company Limited,AOC,Works,1 bids,1
97,2019-2020,Assam Power Generation Company Limited,AOC,Works,2 bids,2
98,2019-2020,Assam Power Generation Company Limited,AOC,Works,4 and more bids,2
99,2019-2020,Assam Power Generation Company Limited,Cancelled,Works,2 bids,1
100,2019-2020,Assam State Transport Corporation,AOC,Goods,4 and more bids,1
101,2019-2020,Assam State Transport Corporation,AOC,Services,1 bids,1
102,2019-2020,Assam State Transport Corporation,AOC,Services,2 bids,1
103,2019-2020,Assam State Transport Corporation,AOC,Services,4 and more bids,1
104,2019-2020,Assam State Transport Corporation,Cancelled,Goods,1 bids,1
105,2019-2020,Assam State Transport Corporation,Cancelled,Goods,4 and more bids,2
106,2019-2020,Assam State Transport Corporation,Cancelled,Services,1 bids,1
107,2019-2020,Assam State Transport Corporation,Cancelled,Services,3 bids,1
108,2019-2020,Assam State Transport Corporation,Cancelled,Services,4 and more bids,1
109,2019-2020,Assam State Transport Corporation,Cancelled,Works,0 bids,1
110,2019-2020,BODOLAND UNIVERSITY,Cancelled,Works,0 bids,2
111,2019-2020,Bodoland Territorial Council,AOC,Goods,0 bids,1
112,2019-2020,Bodoland Territorial Council,AOC,Goods,3 bids,1
113,2019-2020,Bodoland Territorial Council,AOC,Goods,4 and more bids,3
114,2019-2020,Bodoland Territorial Council,AOC,Works,2 bids,2
115,2019-2020,Bodoland Territorial Council,AOC,Works,3 bids,4
116,2019-2020,Bodoland Territorial Council,Cancelled,Works,0 bids,1
117,2019-2020,Bodoland Territorial Council,Cancelled,Works,2 bids,1
118,2019-2020,Bodoland Territorial Council,Cancelled,Works,3 bids,2
119,2019-2020,Bodoland Territorial Council-PWD,Cancelled,Works,0 bids,4
120,2019-2020,Bodoland Territorial Council-PWD,Cancelled,Works,1 bids,1
121,2019-2020,Cooperation Department,AOC,Works,2 bids,13
122,2019-2020,Cooperation Department,AOC,Works,3 bids,4
123,2019-2020,Cooperation Department,AOC,Works,4 and more bids,4
124,2019-2020,Cotton University,AOC,Works,3 bids,1
125,2019-2020,Cotton University,AOC,Works,4 and more bids,2
126,2019-2020,Department of Tourism,AOC,Works,3 bids,2
127,2019-2020,Department of Water Resources,AOC,Works,2 bids,1
128,2019-2020,Department of Water Resources,AOC,Works,4 and more bids,1
129,2019-2020,Dibrugarh University,AOC,Works,2 bids,1
130,2019-2020,Dibrugarh University,AOC,Works,3 bids,1
131,2019-2020,Director- Fire and Emergency Services-Assam,AOC,Works,2 bids,2
132,2019-2020,Director- Fire and Emergency Services-Assam,AOC,Works,4 and more bids,1
133,2019-2020,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,1 bids,1
134,2019-2020,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,2 bids,4
135,2019-2020,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,4 and more bids,3
136,2019-2020,Directorate of Land Records and Survey etc. Assam,AOC,Goods,3 bids,1
137,2019-2020,Directorate of Land Records and Survey etc. Assam,AOC,Services,3 bids,1
138,2019-2020,Finance Department - World Bank Tenders,AOC,Services,3 bids,1
139,2019-2020,Finance Department - World Bank Tenders,AOC,Services,4 and more bids,1
140,2019-2020,Guwahati Metropolitan Development Authority,AOC,Works,0 bids,1
141,2019-2020,Guwahati Metropolitan Development Authority,AOC,Works,2 bids,1
142,2019-2020,Guwahati Metropolitan Development Authority,Financial Evaluation,Works,3 bids,1
143,2019-2020,Health and Family Welfare Department,AOC,Goods,1 bids,3
144,2019-2020,Health and Family Welfare Department,AOC,Goods,2 bids,2
145,2019-2020,Health and Family Welfare Department,AOC,Goods,3 bids,1
146,2019-2020,Health and Family Welfare Department,AOC,Goods,4 and more bids,1
147,2019-2020,Health and Family Welfare Department,AOC,Services,4 and more bids,1
148,2019-2020,Health and Family Welfare Department,Cancelled,Goods,0 bids,2
149,2019-2020,Health and Family Welfare Department,Cancelled,Goods,1 bids,5
150,2019-2020,Health and Family Welfare Department,Cancelled,Goods,2 bids,2
151,2019-2020,Health and Family Welfare Department,Cancelled,Goods,3 bids,1
152,2019-2020,Health and Family Welfare Department,Cancelled,Goods,4 and more bids,1
153,2019-2020,Health and Family Welfare Department,Cancelled,Works,4 and more bids,1
154,2019-2020,Health and Family Welfare Department,Financial Evaluation,Goods,4 and more bids,1
155,2019-2020,Home B,AOC,Goods,1 bids,1
156,2019-2020,Home B,AOC,Goods,2 bids,4
157,2019-2020,Home B,AOC,Goods,3 bids,7
158,2019-2020,Home B,AOC,Goods,4 and more bids,6
159,2019-2020,Home B,Cancelled,Goods,0 bids,3
160,2019-2020,Home B,Cancelled,Goods,1 bids,1
161,2019-2020,Home B,Cancelled,Goods,2 bids,2
162,2019-2020,Home B,Cancelled,Goods,3 bids,5
163,2019-2020,Home B,Cancelled,Goods,4 and more bids,4
164,2019-2020,Industries and Commerce Department,AOC,Goods,3 bids,1
165,2019-2020,Industries and Commerce Department,AOC,Works,3 bids,1
166,2019-2020,Industries and Commerce Department,AOC,Works,4 and more bids,3
167,2019-2020,Industries and Commerce Department,Cancelled,Services,3 bids,1
168,2019-2020,Industries and Commerce Department,Cancelled,Works,2 bids,1
169,2019-2020,Irrigation Department,Cancelled,Works,0 bids,1
170,2019-2020,National Health Mission,AOC,Goods,1 bids,1
171,2019-2020,National Health Mission,AOC,Goods,2 bids,1
172,2019-2020,National Health Mission,AOC,Goods,3 bids,1
173,2019-2020,National Health Mission,AOC,Goods,4 and more bids,16
174,2019-2020,National Health Mission,AOC,Works,2 bids,7
175,2019-2020,National Health Mission,AOC,Works,3 bids,8
176,2019-2020,National Health Mission,AOC,Works,4 and more bids,22
177,2019-2020,National Health Mission,Cancelled,Goods,4 and more bids,1
178,2019-2020,National Health Mission,Cancelled,Services,1 bids,1
179,2019-2020,National Health Mission,Cancelled,Works,3 bids,3
180,2019-2020,National Health Mission,Cancelled,Works,4 and more bids,1
181,2019-2020,National Health Mission,Financial Evaluation,Services,3 bids,1
182,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,0 bids,6
183,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,1 bids,9
184,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,2 bids,5
185,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,3 bids,5
186,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,4 and more bids,7
187,2019-2020,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Works,4 and more bids,1
188,2019-2020,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Works,2 bids,2
189,2019-2020,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Works,4 and more bids,2
190,2019-2020,Public Health Engineering Department,AOC,Services,4 and more bids,1
191,2019-2020,Public Health Engineering Department,Cancelled,Goods,4 and more bids,2
192,2019-2020,Public Health Engineering Department,Cancelled,Works,1 bids,4
193,2019-2020,Public Works Building and NH Department,AOC,Works,0 bids,2
194,2019-2020,Public Works Building and NH Department,AOC,Works,1 bids,2
195,2019-2020,Public Works Building and NH Department,AOC,Works,2 bids,12
196,2019-2020,Public Works Building and NH Department,AOC,Works,3 bids,3
197,2019-2020,Public Works Building and NH Department,AOC,Works,4 and more bids,2
198,2019-2020,Public Works Roads Department,AOC,Works,1 bids,3
199,2019-2020,Public Works Roads Department,AOC,Works,2 bids,5
200,2019-2020,Public Works Roads Department,AOC,Works,4 and more bids,1
201,2019-2020,Public Works Roads Department,Financial Evaluation,Works,3 bids,1
202,2019-2020,Skill Employment and Entrepreneurship Department,AOC,Services,4 and more bids,1
203,2019-2020,Social Welfare Department,Cancelled,Goods,4 and more bids,1
204,2019-2020,Urban Development Department,AOC,Works,1 bids,1
205,2019-2020,Urban Development Department,AOC,Works,3 bids,2
206,2019-2020,Urban Development Department,Cancelled,Goods,2 bids,2
207,2019-2020,Urban Development Department,Cancelled,Goods,4 and more bids,1
208,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Goods,2 bids,1
209,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Goods,3 bids,2
210,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Goods,4 and more bids,7
211,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Services,4 and more bids,1
212,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Works,0 bids,1
213,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Works,2 bids,2
214,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Works,3 bids,4
215,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Works,4 and more bids,3
216,2019-2020,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,3 bids,1
217,2019-2020,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,4 and more bids,4
218,2019-2020,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Services,3 bids,1
219,2019-2020,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Services,4 and more bids,1
220,2020-2021,Animal Husbandry and Veterinary Department,AOC,Goods,2 bids,3
221,2020-2021,Animal Husbandry and Veterinary Department,AOC,Goods,3 bids,2
222,2020-2021,Animal Husbandry and Veterinary Department,AOC,Goods,4 and more bids,6
223,2020-2021,Animal Husbandry and Veterinary Department,AOC,Works,0 bids,1
224,2020-2021,Animal Husbandry and Veterinary Department,AOC,Works,2 bids,1
225,2020-2021,Animal Husbandry and Veterinary Department,AOC,Works,4 and more bids,1
226,2020-2021,Animal Husbandry and Veterinary Department,Cancelled,Goods,4 and more bids,1
227,2020-2021,Animal Husbandry and Veterinary Department,Cancelled,Services,2 bids,1
228,2020-2021,Animal Husbandry and Veterinary Department,Cancelled,Services,4 and more bids,1
229,2020-2021,Animal Husbandry and Veterinary Department,Cancelled,Works,4 and more bids,1
230,2020-2021,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,2 bids,1
231,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Goods,4 and more bids,1
232,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Services,3 bids,1
233,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Works,2 bids,1
234,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Works,3 bids,5
235,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Works,4 and more bids,7
236,2020-2021,Assam Electricity Grid Corporation Ltd,Cancelled,Goods,4 and more bids,1
237,2020-2021,Assam Electricity Grid Corporation Ltd,Cancelled,Services,3 bids,1
238,2020-2021,Assam Electricity Grid Corporation Ltd,Cancelled,Works,0 bids,3
239,2020-2021,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Works,3 bids,2
240,2020-2021,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Works,4 and more bids,8
241,2020-2021,Assam Inland Water Transport Development Society,AOC,Services,0 bids,1
242,2020-2021,Assam Inland Water Transport Development Society,AOC,Works,0 bids,1
243,2020-2021,Assam Inland Water Transport Development Society,AOC,Works,3 bids,1
244,2020-2021,Assam Inland Water Transport Development Society,Cancelled,Services,2 bids,1
245,2020-2021,Assam Inland Water Transport Development Society,Cancelled,Services,4 and more bids,1
246,2020-2021,Assam Police,AOC,Goods,3 bids,2
247,2020-2021,Assam Police,AOC,Goods,4 and more bids,2
248,2020-2021,Assam Police,AOC,Services,1 bids,1
249,2020-2021,Assam Police,AOC,Services,3 bids,1
250,2020-2021,Assam Police,AOC,Services,4 and more bids,1
251,2020-2021,Assam Police,Cancelled,Goods,2 bids,1
252,2020-2021,Assam Police,Cancelled,Goods,3 bids,1
253,2020-2021,Assam Police,Cancelled,Services,4 and more bids,1
254,2020-2021,Assam Police,Cancelled,Works,4 and more bids,1
255,2020-2021,Assam Police,Financial Evaluation,Goods,2 bids,1
256,2020-2021,Assam Police Housing Corporation Ltd,AOC,Works,1 bids,7
257,2020-2021,Assam Police Housing Corporation Ltd,AOC,Works,2 bids,2
258,2020-2021,Assam Police Housing Corporation Ltd,AOC,Works,3 bids,4
259,2020-2021,Assam Police Housing Corporation Ltd,AOC,Works,4 and more bids,20
260,2020-2021,Assam Police Housing Corporation Ltd,Cancelled,Works,1 bids,1
261,2020-2021,Assam Police Housing Corporation Ltd,Cancelled,Works,2 bids,2
262,2020-2021,Assam Police Housing Corporation Ltd,Cancelled,Works,4 and more bids,1
263,2020-2021,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,4 and more bids,9
264,2020-2021,Assam Power Distribution Company Limited- Externally Aided Project,Cancelled,Works,4 and more bids,1
265,2020-2021,Assam Power Distribution Company Ltd,AOC,Works,1 bids,1
266,2020-2021,Assam Power Distribution Company Ltd,AOC,Works,2 bids,3
267,2020-2021,Assam Power Distribution Company Ltd,AOC,Works,3 bids,4
268,2020-2021,Assam Power Distribution Company Ltd,AOC,Works,4 and more bids,21
269,2020-2021,Assam Power Distribution Company Ltd,Cancelled,Services,4 and more bids,14
270,2020-2021,Assam Power Generation Company Limited,AOC,Goods,3 bids,1
271,2020-2021,Assam Power Generation Company Limited,AOC,Works,0 bids,1
272,2020-2021,Assam Power Generation Company Limited,AOC,Works,3 bids,2
273,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,0 bids,1
274,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,4 and more bids,1
275,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,3 bids,1
276,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,4 and more bids,1
277,2020-2021,Assam Science and Technology University,AOC,Goods,3 bids,1
278,2020-2021,Assam State Disaster Management Authority,AOC,Goods,3 bids,1
279,2020-2021,Assam State Disaster Management Authority,AOC,Goods,4 and more bids,1
280,2020-2021,Assam State Disaster Management Authority,AOC,Services,4 and more bids,1
281,2020-2021,Assam State Disaster Management Authority,Cancelled,Goods,1 bids,1
282,2020-2021,Assam State Disaster Management Authority,Cancelled,Goods,4 and more bids,1
283,2020-2021,Assam State Disaster Management Authority,Financial Evaluation,Services,4 and more bids,1
284,2020-2021,Assam State Transport Corporation,AOC,Goods,1 bids,1
285,2020-2021,Assam State Transport Corporation,AOC,Works,4 and more bids,1
286,2020-2021,Assam State Transport Corporation,Cancelled,Goods,0 bids,1
287,2020-2021,Assam State Transport Corporation,Cancelled,Goods,2 bids,1
288,2020-2021,Assam State Transport Corporation,Cancelled,Goods,3 bids,1
289,2020-2021,Assam State Transport Corporation,Cancelled,Goods,4 and more bids,1
290,2020-2021,Assam State Transport Corporation,Cancelled,Services,2 bids,1
291,2020-2021,Assam State Transport Corporation,Cancelled,Services,3 bids,1
292,2020-2021,Assam State Transport Corporation,Cancelled,Services,4 and more bids,1
293,2020-2021,Axom Sarba Siksha Abhijan Mission,AOC,Goods,4 and more bids,11
294,2020-2021,Axom Sarba Siksha Abhijan Mission,AOC,Services,4 and more bids,1
295,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,1 bids,1
296,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,2 bids,1
297,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,3 bids,3
298,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,4 and more bids,6
299,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Services,4 and more bids,1
300,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,0 bids,1
301,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,3 bids,1
302,2020-2021,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,3 bids,1
303,2020-2021,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,3 bids,4
304,2020-2021,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,4 and more bids,14
305,2020-2021,BODOLAND UNIVERSITY,Cancelled,Works,1 bids,1
306,2020-2021,BODOLAND UNIVERSITY,Cancelled,Works,4 and more bids,1
307,2020-2021,Bodoland Territorial Council,AOC,Goods,3 bids,1
308,2020-2021,Bodoland Territorial Council,AOC,Works,2 bids,3
309,2020-2021,Bodoland Territorial Council,AOC,Works,3 bids,30
310,2020-2021,Bodoland Territorial Council,Cancelled,Works,0 bids,1
311,2020-2021,Bodoland Territorial Council,Cancelled,Works,3 bids,1
312,2020-2021,Bodoland Territorial Council,Cancelled,Works,4 and more bids,1
313,2020-2021,Bodoland Territorial Council,Financial Bid Opening,Works,2 bids,1
314,2020-2021,Bodoland Territorial Council,Financial Bid Opening,Works,3 bids,20
315,2020-2021,Bodoland Territorial Council,Financial Evaluation,Works,3 bids,1
316,2020-2021,Bodoland Territorial Council,Technical Evaluation,Works,3 bids,3
317,2020-2021,Bodoland Territorial Council-PWD,AOC,Works,0 bids,1
318,2020-2021,Bodoland Territorial Council-PWD,AOC,Works,3 bids,14
319,2020-2021,Bodoland Territorial Council-PWD,AOC,Works,4 and more bids,1
320,2020-2021,Bodoland Territorial Council-PWD,Cancelled,Works,0 bids,2
321,2020-2021,Bodoland Territorial Council-PWD,Cancelled,Works,3 bids,7
322,2020-2021,Bodoland Territorial Council-PWD,Technical Evaluation,Services,3 bids,1
323,2020-2021,Bodoland Territorial Council-PWD,Technical Evaluation,Works,2 bids,2
324,2020-2021,Bodoland Territorial Council-PWD,Technical Evaluation,Works,3 bids,2
325,2020-2021,Bodoland Territorial Council-WRD,AOC,Works,3 bids,6
326,2020-2021,Bodoland Territorial Council-WRD,AOC,Works,4 and more bids,1
327,2020-2021,Cooperation Department,AOC,Goods,1 bids,1
328,2020-2021,Cooperation Department,AOC,Goods,3 bids,1
329,2020-2021,Cooperation Department,AOC,Goods,4 and more bids,2
330,2020-2021,Cooperation Department,AOC,Works,1 bids,6
331,2020-2021,Cooperation Department,AOC,Works,2 bids,19
332,2020-2021,Cooperation Department,AOC,Works,3 bids,8
333,2020-2021,Cooperation Department,AOC,Works,4 and more bids,3
334,2020-2021,Cotton University,AOC,Works,2 bids,1
335,2020-2021,Cotton University,AOC,Works,4 and more bids,1
336,2020-2021,Department of Cultural Affairs,AOC,Services,4 and more bids,2
337,2020-2021,Department of Cultural Affairs,AOC,Works,1 bids,19
338,2020-2021,Department of Cultural Affairs,AOC,Works,2 bids,4
339,2020-2021,Department of Cultural Affairs,AOC,Works,3 bids,9
340,2020-2021,Department of Cultural Affairs,AOC,Works,4 and more bids,4
341,2020-2021,Department of Cultural Affairs,Cancelled,Works,0 bids,1
342,2020-2021,Department of Cultural Affairs,Financial Bid Opening,Works,1 bids,1
343,2020-2021,Department of Cultural Affairs,Retender,Works,0 bids,2
344,2020-2021,Department of Cultural Affairs,Retender,Works,1 bids,2
345,2020-2021,Department of Cultural Affairs,Technical Evaluation,Works,1 bids,1
346,2020-2021,Department of Fisheries,AOC,Services,3 bids,1
347,2020-2021,Department of Fisheries,Cancelled,Works,4 and more bids,1
348,2020-2021,Department of Fisheries,Retender,Services,0 bids,1
349,2020-2021,Department of Handloom Textile and Sericulture,AOC,Goods,4 and more bids,4
350,2020-2021,Department of Handloom Textile and Sericulture,AOC,Works,4 and more bids,1
351,2020-2021,Department of Handloom Textile and Sericulture,Cancelled,Works,4 and more bids,1
352,2020-2021,Department of Handloom Textile and Sericulture,Technical Evaluation,Works,4 and more bids,1
353,2020-2021,Department of Labour and Welfare,AOC,Services,4 and more bids,1
354,2020-2021,Department of Science and Technology,AOC,Goods,4 and more bids,1
355,2020-2021,Department of Tourism,AOC,Goods,4 and more bids,1
356,2020-2021,Department of Water Resources,AOC,Works,1 bids,2
357,2020-2021,Department of Water Resources,AOC,Works,2 bids,3
358,2020-2021,Department of Water Resources,AOC,Works,3 bids,6
359,2020-2021,Department of Water Resources,AOC,Works,4 and more bids,30
360,2020-2021,Department of Water Resources,Cancelled,Works,4 and more bids,1
361,2020-2021,Department of Water Resources,Retender,Works,1 bids,2
362,2020-2021,Department of Water Resources,Retender,Works,4 and more bids,4
363,2020-2021,Dibrugarh University,AOC,Goods,3 bids,1
364,2020-2021,Dibrugarh University,AOC,Works,2 bids,1
365,2020-2021,Dibrugarh University,AOC,Works,3 bids,1
366,2020-2021,Director- Fire and Emergency Services-Assam,AOC,Goods,4 and more bids,2
367,2020-2021,Director- Fire and Emergency Services-Assam,AOC,Works,3 bids,2
368,2020-2021,Director- Fire and Emergency Services-Assam,AOC,Works,4 and more bids,5
